#options: 1920x886 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=8000 vbv_bufsize=16000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:20.89 aq:10.51 tex:48855 mv:629 misc:6732 imb:6720 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:20.95 aq:13.47 tex:67998 mv:2867 misc:543 imb:24 pmb:6617 smb:79 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:20.95 aq:14.08 tex:707 mv:483 misc:642 imb:0 pmb:171 smb:6549 d:- ref:0 ;
in:3 out:3 type:i dur:2 cpbdur:2 q:18.95 aq:3.08 tex:15260 mv:3847 misc:1237 imb:6720 pmb:0 smb:0 d:- ref:;
in:6 out:4 type:P dur:2 cpbdur:2 q:20.94 aq:2.80 tex:20511 mv:2547 misc:614 imb:5822 pmb:135 smb:763 d:- ref:0 ;
in:4 out:5 type:B dur:2 cpbdur:2 q:20.94 aq:8.49 tex:8856 mv:403 misc:733 imb:12 pmb:176 smb:6532 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:20.94 aq:9.76 tex:10683 mv:739 misc:562 imb:9 pmb:79 smb:6632 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:20.63 aq:12.88 tex:18975 mv:1173 misc:588 imb:74 pmb:43 smb:6603 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:20.60 aq:2.89 tex:23647 mv:3793 misc:376 imb:6530 pmb:179 smb:11 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:20.46 aq:13.73 tex:20604 mv:1901 misc:671 imb:104 pmb:86 smb:6530 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:20.38 aq:2.38 tex:17220 mv:2975 misc:717 imb:1761 pmb:108 smb:4851 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:20.31 aq:10.28 tex:18953 mv:2270 misc:657 imb:130 pmb:119 smb:6471 d:- ref:0 ;
